Weather_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
385,M,-19.8167,-63.9833,59.56,83,29,2.37,BO,scattered clouds
386,B,47.2833,26.3833,65.28,78,46,4.63,RO,scattered clouds
387,T,17.4189,121.4443,86.86,68,100,3.33,PH,overcast clouds
388,M,36.5281,37.9549,79.02,35,0,7.27,SY,clear sky
389,K,-4.5911,15.1708,68.88,82,32,4.29,CD,scattered clouds
390,M,0.5738,12.8642,68.43,97,60,4.23,GA,broken clouds
391,P,-0.0333,109.3333,85.98,74,40,4.61,ID,scattered clouds
392,Y,4.8833,38.0833,57.58,74,100,7.7,ET,overcast clouds
393,S,59.5336,33.9167,61.27,99,100,3.4,RU,overcast clouds
394,K,-20.7377,116.8463,79.48,32,0,16.71,AU,clear sky
395,V,46.4856,135.8833,82.63,50,49,4.76,RU,scattered clouds
396,Z,66.7697,123.3711,78.35,48,6,4.25,RU,clear sky
397,P,43.1827,13.7934,73.18,75,2,5.86,IT,clear sky
398,C,-45.8667,-67.5,44.46,49,0,16.11,AR,clear sky
399,P,14.0453,124.1694,87.75,65,100,10.4,PH,light rain
400,S,26.1578,78.7797,87.51,64,100,5.75,IN,moderate rain
401,A,-12.48,-49.1247,71.31,39,0,3.2,BR,clear sky
402,E,5.1033,73.0708,82.04,74,100,14.81,MV,overcast clouds
403,A,10.0667,34.5333,59.7,84,100,3.31,ET,light rain
404,V,-33.0393,-71.6273,53.47,80,40,5.75,CL,scattered clouds
405,R,32.3502,-85.1999,82.9,63,92,5.61,US,overcast clouds
406,A,26.5921,12.7805,77.63,16,0,6.44,LY,clear sky
407,I,-24.7081,-47.5553,61.83,93,12,3.96,BR,few clouds
408,B,-2.5833,115.3833,87.98,63,100,0.4,ID,overcast clouds
409,F,36.6864,52.5225,77.22,100,100,0.0,IR,overcast clouds
